iter	Passed	Remaining
683	8354	3859
684	8363	3846
685	8372	3832
686	8380	3818
687	8388	3803
688	8395	3789
689	8402	3774
690	8409	3760
691	8415	3745
692	8422	3731
693	8429	3716
694	8436	3702
695	8442	3687
696	8448	3672
697	8454	3657
698	8460	3643
699	8466	3628
700	8472	3613
701	8479	3599
702	8486	3585
703	8491	3570
704	8498	3556
705	8504	3541
706	8510	3527
707	8516	3512
708	8522	3498
709	8530	3484
710	8538	3470
711	8546	3457
712	8554	3443
713	8561	3429
714	8569	3415
715	8576	3401
716	8584	3388
717	8591	3374
718	8599	3360
719	8607	3347
720	8615	3333
721	8622	3320
722	8630	3306
723	8638	3293
724	8646	3279
725	8655	3266
726	8665	3253
727	8673	3240
728	8681	3227
729	8689	3214
730	8699	3201
731	8708	3188
732	8716	3175
733	8725	3162
734	8734	3149
735	8742	3136
736	8750	3122
737	8758	3109
738	8767	3096
739	8776	3083
740	8785	3070
741	8792	3057
742	8799	3043
743	8805	3030
744	8812	3016
745	8819	3002
746	8826	2989
747	8834	2976
748	8843	2963
749	8852	2950
750	8860	2937
751	8867	2924
752	8873	2910
753	8881	2897
754	8889	2884
755	8897	2871
756	8904	2858
757	8914	2845
758	8922	2833
759	8930	2820
760	8938	2807
761	8945	2794
762	8953	2781
763	8960	2767
764	8967	2754
765	8975	2741
766	8982	2728
767	8989	2715
768	8996	2702
769	9003	2689
770	9011	2676
771	9017	2663
772	9024	2650
773	9030	2636
774	9036	2623
775	9043	2610
776	9049	2597
777	9056	2584
778	9062	2571
779	9068	2557
780	9075	2544
781	9082	2531
782	9088	2518
783	9095	2505
784	9101	2492
785	9107	2479
786	9113	2466
787	9119	2453
788	9126	2440
789	9132	2427
790	9139	2414
791	9145	2401
792	9152	2388
793	9158	2376
794	9164	2363
795	9170	2350
796	9176	2337
797	9182	2324
798	9188	2311
799	9195	2298
800	9203	2286
801	9211	2274
802	9218	2261
803	9225	2248
804	9231	2236
805	9239	2223
806	9246	2211
807	9254	2199
808	9261	2186
809	9268	2174
